SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.938707528,28,0,0.019886364,4223.0,2,1,0,1,3.0
0,0.934604905,27,1,0.019986676,1500.0,2,1,0,1,0.0
1,0.341317365,32,2,0.5179463879999999,2200.0,7,1,0,1,2.0
1,0.9999999,27,2,0.029650885,2090.0,5,1,0,1,0.0
1,0.9999999,31,2,0.362654938,2500.0,1,1,0,1,2.0
1,1.1224387809999998,26,1,0.34054954200000004,1200.0,2,1,0,1,0.0
1,0.65849228,24,0,0.014989293,1400.0,1,1,0,1,1.0
1,0.061876248,35,0,0.039055404,1100.0,1,1,0,1,1.0
1,0.901180282,43,2,0.259096361,2500.0,4,1,0,1,1.0
1,0.9999999,25,1,0.154503106,2575.0,3,1,0,1,2.0
1,0.9999999,37,2,0.16297043,2975.0,1,1,0,1,1.0
1,2.638722555,25,1,0.521025641,974.0,4,1,0,1,0.0
1,0.9999999,31,0,0.525965379,750.0,4,1,0,1,0.0
1,0.9999999,29,2,0.356211004,3525.0,2,1,1,1,3.0
1,0.9999999,25,0,0.046976512000000005,2000.0,1,1,0,1,1.0
1,1.383886256,26,2,0.247826087,1839.0,3,1,0,1,0.0
