sex,age,race,juv-fel-count,decile-score,juv-misd-count,juv-other-count,priors-count,days-b-screening-arrest,c-days-from-compas,c-charge-degree,is-recid,r-charge-degree,is-violent-recid,v-decile-score,c-jail-time,r-jail-time
Male,49,Non-White,0,1,0,0,4,-1,1,2,0,1,Low,1,1,0
Male,53,White,0,5,0,0,8,-13,13,3,0,1,Low,2,13,0
Female,31,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,35,Non-White,0,3,0,0,5,-1,1,3,0,1,Low,2,1,0
Male,46,White,3,6,1,0,9,-1,1,3,0,1,Low,3,1,0
Female,34,White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,62,Non-White,0,1,0,0,0,0,1,2,0,1,Low,1,-1,0
Male,33,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Female,56,Non-White,0,1,0,0,0,0,1,2,0,1,Low,1,3,0
Female,31,White,0,3,0,0,2,-1,1,3,0,1,Low,2,1,0
Male,34,Non-White,0,4,0,0,0,0,0,3,0,1,Low,4,419,0
Male,39,Non-White,0,4,0,0,1,-1,1,2,0,1,Low,2,4,0
Male,24,Non-White,0,6,1,0,4,-1,1,2,0,1,Low,4,1,0
Female,24,Non-White,0,4,0,0,1,-325,325,2,0,1,Low,2,-1,0
Male,40,Non-White,0,2,0,0,2,-15,15,3,0,1,Low,1,3,0
Male,51,Non-White,0,1,0,0,1,-78,78,3,0,1,Low,1,55,0
Male,22,White,0,8,0,0,0,-1,1,3,0,1,Low,6,57,0
Male,32,White,0,1,0,0,3,-389,711,2,0,1,Low,3,69,0
Male,32,Non-White,0,2,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,41,Non-White,0,2,0,0,1,-1,5185,2,0,1,Low,2,1,0
Male,50,White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,66,Non-White,0,9,0,0,0,-1,1372,2,0,1,Low,3,1,0
Male,52,Non-White,0,5,0,0,3,-318,1,3,0,1,Low,1,9,0
Male,22,White,0,6,0,0,3,-5,7,3,0,1,Low,5,-1,0
Male,54,Non-White,0,6,0,0,6,-1,864,3,0,1,Low,5,105,0
Male,40,White,0,5,0,0,4,-1,1,3,0,1,Low,4,1,0
Female,35,Non-White,0,2,0,0,1,-1,1,2,0,1,Low,1,1,0
Male,30,White,0,5,0,1,6,-239,1,3,0,1,Low,4,10,0
Male,34,Non-White,0,3,0,0,3,-21,21,2,0,1,Low,2,16,0
Female,20,White,0,7,0,0,0,-1,1,3,0,1,Low,8,1,0
Male,66,White,0,1,0,0,3,-64,64,3,0,1,Low,1,30,0
Female,54,White,0,1,0,0,0,0,1,2,0,1,Low,1,1,0
Female,44,Non-White,0,1,0,0,0,-2,2,2,0,1,Low,1,1,0
Female,32,Non-White,0,3,0,0,8,0,1,2,0,1,Low,1,1,0
Male,30,White,0,4,0,0,0,-1,1,3,0,1,Low,2,5,0
Male,31,White,0,5,0,0,0,-1,1,2,0,1,Low,2,38,0
Female,39,White,0,4,0,0,1,-1,1,3,0,1,Low,3,106,0
Male,35,White,0,6,0,0,7,0,0,3,0,1,Low,3,1,0
Female,24,Non-White,0,3,0,0,0,-1,1,3,0,1,Low,4,16,0
Male,43,White,0,1,0,0,1,-30,30,3,0,1,Low,1,1,0
Female,21,Non-White,0,4,0,0,0,-1,1,2,0,1,Low,4,3,0
Male,27,Non-White,0,7,0,0,0,-1,1,3,0,1,Low,3,1,0
Male,27,Non-White,0,9,0,0,3,-1,2,3,0,1,Low,4,207,0
Male,34,White,0,5,0,0,0,0,0,3,0,1,Low,5,14,0
Male,37,Non-White,0,2,0,0,3,0,0,3,0,1,Low,1,1,0
Male,44,White,0,1,0,0,0,-3,3,2,0,1,Low,1,1,0
Male,31,Non-White,0,7,0,0,1,-1,1,2,0,1,Low,8,1,0
Female,30,Non-White,0,2,0,0,1,-1,1,3,0,1,Low,2,1,0
Female,31,White,0,2,0,0,1,-1,1,3,0,1,Low,2,1,0
Male,47,Non-White,0,1,0,0,2,-1,1,3,0,1,Low,1,1,0
Male,56,Non-White,0,9,0,0,8,67,79,3,0,1,Low,3,79,0
Male,33,Non-White,0,8,0,0,2,14,132,2,0,1,Low,8,13,0
Male,52,White,0,9,0,0,3,-2,2,2,0,1,Low,6,1,0
Male,61,White,0,4,0,0,0,-1,1,3,0,1,Low,1,15,0
Female,64,White,0,1,0,0,2,-47,48,2,0,1,Low,1,-1,0
Male,42,White,0,3,0,0,6,-4,5,3,0,1,Low,1,-1,0
Female,25,White,0,4,0,0,2,-1,1,3,0,1,Low,5,3,0
Male,27,White,0,1,0,0,0,-1,1,3,0,1,Low,2,1,0
Male,30,White,0,2,0,0,1,-20,20,2,0,1,Low,2,3,0
Female,37,Non-White,0,2,0,0,2,-1,222,2,0,1,Low,1,1,0
