age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
55,Private,135339,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,1
62,Private,177028,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
55,Private,266019,5,Married,Other,Husband,Non-White,Male,0,0,4,US,0
46,Private,135339,11,Married,Other,Husband,Non-White,Male,0,0,40,US,1
65,Private,105586,10,Married,Managerial-Specialist,Husband,Non-White,Male,20051,0,40,US,1
66,Non-Private,240294,10,Married,Other,Husband,Non-White,Male,0,0,60,US,0
40,Private,234397,13,Married,Other,Husband,Non-White,Male,0,0,40,US,1
39,Private,560313,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,45,US,1
33,Non-Private,150688,16,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,50,Non-US,1
35,Private,455469,13,Married,Other,Husband,Non-White,Male,0,0,40,US,1
48,Private,328581,7,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
26,Private,269168,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
64,Private,110212,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
52,Private,254680,9,Married,Other,Husband,Non-White,Male,0,0,99,US,0
53,Non-Private,59664,9,Married,Other,Husband,Non-White,Male,5013,0,40,US,0
52,Non-Private,192853,9,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,1
38,Non-Private,364803,10,Married,Other,Husband,Non-White,Male,0,0,65,US,0
32,Non-Private,400061,15,Married,Managerial-Specialist,Husband,Non-White,Male,15024,0,40,Non-US,1
32,Private,79586,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,1
37,Private,177420,9,Married,Other,Husband,Non-White,Male,0,0,40,US,1
45,Non-Private,110884,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,45,Non-US,1
58,Private,106707,3,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,48,US,0
60,Private,95680,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,45,US,1
29,Non-Private,75435,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
43,Private,116379,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,60,Non-US,1
48,Private,300851,7,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,56,US,0
44,Private,112847,4,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
28,Non-Private,90787,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
37,Private,490871,7,Married,Other,Husband,Non-White,Male,0,0,25,US,0
31,Private,173473,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,45,US,1
51,Non-Private,88020,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
39,Private,430336,9,Married,Managerial-Specialist,Husband,Non-White,Male,7688,0,45,US,1
42,Private,233366,3,Married,Other,Husband,Non-White,Male,3103,0,40,Non-US,1
61,Private,266646,3,Married,Other,Husband,Non-White,Male,2290,0,40,US,0
38,Private,297767,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
40,Private,262461,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
33,Private,89360,9,Married,Other,Husband,Non-White,Male,5178,0,55,US,1
34,Non-Private,227540,13,Married,Other,Husband,Non-White,Male,0,0,60,Non-US,0
38,Private,173858,13,Married,Managerial-Specialist,Husband,Non-White,Male,7688,0,35,Non-US,1
53,Non-Private,93449,15,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,1
72,Private,109385,2,Married,Other,Husband,Non-White,Male,0,0,36,US,0
72,Private,128793,3,Married,Other,Husband,Non-White,Male,0,0,36,US,0
45,Non-Private,305474,6,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
49,Private,90579,9,Married,Other,Husband,Non-White,Male,5013,0,50,US,0
34,Private,233729,12,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,50,US,1
41,Private,22419,5,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,84,US,0
33,Private,143485,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
77,Private,148949,6,Married,Other,Husband,Non-White,Male,3818,0,30,US,0
35,Private,174571,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
23,Private,247090,5,Married,Other,Husband,Non-White,Male,0,0,55,US,0
37,Private,188279,9,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
52,Non-Private,156882,10,Married,Other,Husband,Non-White,Male,0,0,40,US,0
38,Non-Private,326701,12,Married,Other,Husband,Non-White,Male,0,0,40,US,1
53,Private,418901,9,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
31,Private,168961,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
