sex,age,race,juv-fel-count,decile-score,juv-misd-count,juv-other-count,priors-count,days-b-screening-arrest,c-days-from-compas,c-charge-degree,is-recid,r-charge-degree,is-violent-recid,v-decile-score,c-jail-time,r-jail-time
Female,26,Non-White,0,4,0,0,2,-1,1,2,1,2,Low,4,1,0
Male,55,Non-White,0,1,0,0,3,-51,52,2,0,1,Low,1,1,0
Male,39,White,1,4,0,0,1,-1,1672,1,0,1,Low,4,3,0
Female,30,White,0,7,0,0,3,0,1,3,1,3,Low,4,530,11
Male,30,Non-White,0,7,0,0,1,0,1,3,0,1,Low,8,70,0
Male,48,White,0,2,0,0,2,-1,1,2,0,1,Low,1,1,0
Male,33,White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,22,Non-White,0,2,0,0,1,-1,1,3,0,1,Low,4,1,0
Male,46,White,0,1,0,0,6,22,31,3,1,2,Low,1,22,23
Male,41,White,0,10,0,0,5,-1,1,3,0,1,Low,4,95,0
Female,49,White,0,6,0,0,6,-56,56,3,0,1,Low,2,5,0
Male,31,White,0,5,0,0,0,0,1,3,0,1,Low,4,2,0
Male,31,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,2,1,0
Male,25,Non-White,0,2,0,0,1,-1,1,2,1,2,Low,3,1,4
Male,31,Non-White,0,3,0,0,3,-19,19,3,0,1,Low,2,19,0
Female,21,Non-White,0,6,0,0,0,-4,4,2,0,1,Low,6,3,0
Male,23,Non-White,0,3,0,0,0,-1,2,3,0,1,Low,5,1,0
Female,32,Non-White,0,7,0,0,5,-1,1,3,0,1,Low,3,1,0
Male,52,Non-White,0,1,0,0,2,-1,1,2,0,1,Low,1,3,0
Male,62,Non-White,0,4,0,0,8,0,1,3,0,1,Low,1,15,0
Male,30,Non-White,0,6,0,0,2,-188,1,2,0,1,Low,4,1,0
Female,37,White,0,10,0,0,6,-110,111,3,0,1,Low,4,105,0
Male,55,White,0,1,0,0,1,-45,45,3,0,1,Low,1,18,0
Male,31,Non-White,0,9,0,0,8,29,61,3,1,2,Low,7,117,87
Male,28,Non-White,0,6,0,0,6,-1,1,2,1,2,High,6,1,0
Male,54,Non-White,0,1,0,0,2,-1,1,3,0,1,Low,1,188,0
Male,58,Non-White,0,2,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,78,White,0,1,0,0,1,-1,1,2,1,3,Low,1,1,0
Male,56,White,0,1,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,21,Non-White,0,10,0,0,1,-155,155,2,0,1,Low,8,11,0
Male,24,Non-White,0,2,0,0,0,-1,1,3,0,1,Low,4,1,0
Male,38,Non-White,2,8,2,1,22,-34,35,3,1,2,Low,5,33,13
Male,39,Non-White,0,5,0,0,3,-1,1637,2,0,1,Low,1,5,0
Male,35,White,0,1,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,22,Non-White,0,5,0,0,1,0,1,3,1,2,Low,5,1,0
Male,47,Non-White,0,8,0,0,23,-1,1,2,1,3,Low,1,1,34
Male,23,Non-White,0,2,0,0,0,-1,1,2,1,2,Low,4,1,9
Male,57,Non-White,0,1,0,0,1,0,0,3,0,1,Low,1,19,0
Female,38,White,0,5,0,0,2,-35,35,3,1,2,Low,2,1,8
Male,66,Non-White,0,1,0,0,3,-10,10,3,1,2,High,1,2,0
Male,45,White,0,4,0,0,8,0,0,2,1,2,Low,3,71,0
Female,28,White,0,5,0,0,0,-2,2,2,0,1,Low,2,1,0
Male,45,Non-White,0,1,0,0,2,-117,117,3,0,1,Low,1,1,0
Male,32,Non-White,0,10,0,0,13,289,1,3,1,3,Low,7,97,97
Male,37,Non-White,0,9,0,0,2,0,0,2,1,2,High,8,1,32
Male,39,White,0,4,0,0,0,0,0,3,1,2,Low,4,1,41
Male,26,Non-White,0,9,0,0,9,0,1,3,1,3,Low,8,79,106
Male,25,Non-White,0,8,0,0,3,-1,0,3,0,1,Low,8,1,0
Male,45,White,0,3,0,0,2,-1,1,3,0,1,Low,4,358,0
Female,57,White,0,9,0,0,7,0,0,3,0,1,Low,1,1,0
Male,23,Non-White,0,3,0,0,0,-1,1,3,1,3,High,4,1,193
Male,34,Non-White,0,2,0,0,2,0,1,2,1,3,Low,1,25,23
Male,38,Non-White,0,10,0,0,14,0,1,3,0,1,Low,8,116,0
Female,23,Non-White,0,4,0,0,1,-1,1,2,0,1,Low,4,1,0
Male,36,Non-White,0,3,0,0,2,-1,1,2,1,3,Low,1,2,77
Male,50,White,0,1,0,0,1,-4,4,3,0,1,Low,1,1,0
Female,37,White,0,3,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,44,White,0,4,0,0,4,0,0,2,0,1,Low,4,1,0
Female,35,Non-White,0,9,1,0,23,-1,1,3,1,3,Low,9,2,0
Male,31,White,0,1,0,0,1,-36,36,3,0,1,Low,1,36,0
Male,24,Non-White,0,5,0,0,5,-1,1,3,1,3,Low,4,1,0
Male,40,Non-White,0,1,0,0,3,-108,109,3,0,1,Low,1,106,0
Male,26,Non-White,0,10,0,0,2,-1,1,3,1,3,Low,8,1,21
Male,37,Non-White,0,6,0,0,1,-1,2,3,0,1,Low,2,2,0
Male,27,Non-White,0,2,0,0,0,-1,1,2,0,1,Low,3,2,0
Female,31,White,0,3,0,0,1,-1,1,2,0,1,Low,2,1,0
Female,28,Non-White,0,8,0,0,0,0,1,3,0,1,Low,6,29,0
Male,43,White,0,5,0,0,11,49,56,3,1,2,High,3,121,121
Female,28,White,0,9,0,0,7,-1,1,3,1,3,Low,6,1,0
Male,38,Non-White,0,1,0,0,0,0,1,3,0,1,Low,1,1,0
Male,38,Non-White,0,1,0,0,2,-1,1,3,0,1,Low,1,1,0
Male,27,White,0,4,0,0,2,-36,36,2,0,1,Low,3,36,0
Female,28,Non-White,0,9,0,0,1,-1,1,3,0,1,Low,7,38,0
Male,21,Non-White,1,7,0,0,1,-1,1,3,0,1,Low,8,2,0
Male,56,White,0,1,0,0,7,-1,1,3,1,2,Low,1,1,0
Male,38,Non-White,0,9,0,0,15,-1,1,3,0,1,Low,3,1,0
Male,28,Non-White,0,5,0,0,2,-1,2147,2,0,1,Low,4,1,0
Male,45,Non-White,0,6,0,0,3,104,23,3,0,1,Low,4,218,0
Female,24,Non-White,0,2,0,0,1,-1,1,3,0,1,Low,2,1,0
Male,61,White,0,1,0,0,1,-34,34,3,0,1,Low,1,1,0
Female,51,White,0,1,0,0,0,-1,1,2,1,2,High,1,1,67
Male,51,White,0,2,0,0,0,-1,1,2,0,1,Low,2,1,0
Male,20,White,0,4,0,1,0,0,1,3,0,1,Low,7,1,0
Male,36,Non-White,0,1,0,0,1,-1,1,2,1,2,Low,1,1,1
Male,48,Non-White,0,1,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,37,White,0,3,0,0,4,0,0,3,1,2,Low,4,1,21
Female,30,Non-White,0,7,0,0,2,-1,1,3,0,1,Low,4,2,0
Female,41,Non-White,0,6,0,0,5,0,1,2,0,1,Low,3,1,0
Male,27,Non-White,0,10,0,0,11,-1,1,3,1,3,Low,9,223,0
Male,37,Non-White,0,1,0,0,0,-1,1,2,1,2,High,1,1,13
Male,33,Non-White,0,4,0,0,4,0,1,3,1,2,Low,2,2,0
Male,54,Non-White,0,9,0,0,11,-1,1,3,0,1,Low,9,129,0
Male,23,Non-White,0,9,0,0,2,-1,1,3,0,1,Low,5,71,0
Male,22,Non-White,0,6,0,0,0,-1,1,3,0,1,Low,5,1,0
Female,26,Non-White,0,4,0,0,2,-227,227,3,1,2,Low,6,226,0
Female,23,Non-White,0,6,2,0,3,0,1,3,0,1,Low,6,1,0
Male,41,Non-White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,52,White,0,1,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,43,White,0,4,0,0,13,0,1,3,1,3,Low,1,51,230
Male,52,Non-White,0,4,0,0,0,-1,1,3,0,1,Low,3,13,0
Male,28,White,0,1,0,0,1,-3,3,3,0,1,Low,2,3,0
Male,30,Non-White,0,9,0,2,11,-1,1,2,1,2,High,4,1,6
Male,28,White,0,5,0,0,1,0,0,3,0,1,Low,3,6,0
Male,47,White,0,2,0,0,1,-38,38,3,0,1,Low,3,37,0
Female,34,Non-White,0,2,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,22,Non-White,0,4,0,0,0,-1,1,3,0,1,Low,6,1,0
Male,30,Non-White,0,2,0,0,4,0,0,3,0,1,Low,2,-1,0
Male,25,Non-White,0,4,0,0,4,0,0,3,0,1,Low,4,1,0
Male,31,White,0,8,0,0,0,-1,1,3,1,3,Low,5,30,42
Male,37,White,0,2,0,0,0,-1,1,3,1,2,Low,1,35,0
Male,32,Non-White,0,9,1,0,14,-1,1,3,0,1,Low,8,1,0
Male,26,Non-White,0,8,1,0,4,649,1562,2,0,1,Low,6,75,0
Male,53,White,0,1,0,0,1,-1,1,2,0,1,Low,1,1,0
Male,28,Non-White,0,8,0,0,25,29,70,3,1,3,Low,9,25,0
Male,44,White,0,5,0,0,8,-1,1,2,1,2,Low,3,4,1
Male,25,Non-White,0,3,0,0,0,0,1,3,0,1,Low,4,1,0
Female,30,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,22,White,0,8,0,1,1,0,0,2,1,3,Low,7,5,7
Female,30,Non-White,1,8,0,0,2,-153,153,3,0,1,Low,8,111,0
Female,20,Non-White,0,5,0,0,0,-1,1,3,0,1,Low,6,1,0
Female,37,Non-White,0,1,0,0,0,-1,2,2,0,1,Low,1,1,0
Female,33,White,0,2,0,0,0,-1,1,3,0,1,Low,1,1,0
Female,47,White,0,5,0,0,2,-1,1,3,0,1,Low,1,3,0
Female,40,Non-White,0,2,0,0,3,-1,1,3,0,1,Low,1,1,0
Male,24,Non-White,0,2,0,0,0,-1,1,2,0,1,Low,3,1,0
Male,36,White,0,7,0,0,8,150,0,3,1,2,High,9,22,22
Male,30,White,0,2,0,0,4,-140,140,3,0,1,Low,2,62,0
Male,22,Non-White,0,9,0,0,3,161,208,2,1,2,High,9,1,1
Female,24,White,0,7,0,0,1,-32,32,2,1,2,High,5,29,1
Male,27,Non-White,0,2,0,0,3,-44,46,2,1,3,Low,3,6,2
Female,31,Non-White,0,2,0,0,0,-1,1,2,0,1,Low,2,1,0
Male,47,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,2,1,0
Male,23,Non-White,0,6,0,1,1,-1,1,3,1,3,Low,4,1,1
Female,23,White,0,5,0,4,5,-1,1,3,1,2,Low,7,1,1
Male,24,Non-White,0,8,0,0,0,-3,3,2,0,1,Low,7,1,0
